# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.50,5.000000000e-01,3,2.022065667e-06,3.019944202e-06,4.057670461e-07,5.998765978e-01,4.408600494e+07,8.604392720e+03,1.917865969e-03
pi+0.50,5.000000000e-01,3,1.751592908e-06,3.287031469e-06,3.631197684e-07,6.533973524e-01,4.471455944e+07,8.851495368e+03,2.464079996e-03
pi+0.50,5.000000000e-01,3,1.503000545e-06,3.531983203e-06,3.207403485e-07,7.025884464e-01,4.544269232e+07,9.142118408e+03,3.187184769e-03
pi+0.50,5.000000000e-01,3,1.274416250e-06,3.756739224e-06,2.790877081e-07,7.478203729e-01,4.629071041e+07,9.486509061e+03,4.129503045e-03
pi+0.50,5.000000000e-01,3,1.064354316e-06,3.962851098e-06,2.385475337e-07,7.893871217e-01,4.728943302e+07,9.900267937e+03,5.391721786e-03
pi+0.50,5.000000000e-01,3,8.712243441e-07,4.151964219e-06,1.993668778e-07,8.276033987e-01,4.848453438e+07,1.040699133e+04,7.110053976e-03
pi+0.50,5.000000000e-01,3,6.937232373e-07,4.325432522e-06,1.617479483e-07,8.627270586e-01,4.994985950e+07,1.104554823e+04,9.549816974e-03
pi+0.50,5.000000000e-01,3,5.305365861e-07,4.484611324e-06,1.258057101e-07,8.950181949e-01,5.180986772e+07,1.188348168e+04,1.319290812e-02
pi+0.50,5.000000000e-01,3,3.806085243e-07,4.630594259e-06,9.163992241e-08,9.246857409e-01,5.430247686e+07,1.305443297e+04,1.910266063e-02
pi+0.50,5.000000000e-01,3,2.428542336e-07,4.764494569e-06,5.928444956e-08,9.519443588e-01,5.795850827e+07,1.487144374e+04,2.998396751e-02
pi+0.50,5.000000000e-01,3,1.163056793e-07,4.887303601e-06,2.874882006e-08,9.769856020e-01,6.456975939e+07,1.845767821e+04,5.737591641e-02
pi+0.50,5.000000000e-01,3,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,6.862705777e+07,2.085016490e+04,2.368164418e-01
pi+0.50,5.000000000e-01,4,5.053605103e-06,0.000000000e+00,6.350832689e-07,0.000000000e+00,4.173271100e+07,7.710311602e+03,4.514165152e-03
pi+0.50,5.000000000e-01,4,4.892345258e-06,1.612580976e-07,6.344331540e-07,3.190986268e-02,4.177719736e+07,7.726758486e+03,2.546377111e-03
pi+0.50,5.000000000e-01,4,4.720672768e-06,3.329169590e-07,6.323122344e-07,6.588016445e-02,4.181115541e+07,7.739324780e+03,1.564956628e-03
pi+0.50,5.000000000e-01,4,4.537966997e-06,5.155809832e-07,6.284365707e-07,1.020337156e-01,4.184811164e+07,7.753012165e+03,1.307082777e-03
pi+0.50,5.000000000e-01,4,4.343407914e-06,7.100479442e-07,6.224750927e-07,1.405327829e-01,4.189967968e+07,7.772131499e+03,1.223626788e-03
pi+0.50,5.000000000e-01,4,4.136200455e-06,9.170829662e-07,6.140461758e-07,1.815346923e-01,4.197089439e+07,7.798573727e+03,1.214999502e-03
pi+0.50,5.000000000e-01,4,3.915578307e-06,1.137412785e-06,6.027143792e-07,2.251910809e-01,4.206718432e+07,7.834397863e+03,1.256380201e-03
pi+0.50,5.000000000e-01,4,3.680539729e-06,1.371987023e-06,5.879690654e-07,2.717001717e-01,4.219518635e+07,7.882147410e+03,1.330547660e-03
pi+0.50,5.000000000e-01,4,3.430108389e-06,1.621714335e-06,5.692259045e-07,3.212551595e-01,4.236372591e+07,7.945240237e+03,1.433982306e-03
pi+0.50,5.000000000e-01,4,3.163392535e-06,1.887399846e-06,5.458271481e-07,3.740325033e-01,4.257505885e+07,8.024708181e+03,1.078168976e-03
pi+0.50,5.000000000e-01,4,2.897712961e-06,2.151719438e-06,5.189989663e-07,4.266047897e-01,4.282926937e+07,8.120823393e+03,7.633270041e-04
pi+0.50,5.000000000e-01,4,2.647838216e-06,2.399969461e-06,4.905647939e-07,4.760496394e-01,4.312463824e+07,8.233218935e+03,8.678183811e-04
pi+0.50,5.000000000e-01,4,2.412727430e-06,2.633210151e-06,4.609805828e-07,5.225730185e-01,4.345659900e+07,8.360460577e+03,1.014846452e-03
pi+0.50,5.000000000e-01,4,2.191476618e-06,2.852369348e-06,4.306380504e-07,5.663538062e-01,4.382730095e+07,8.503705008e+03,1.200179061e-03
pi+0.50,5.000000000e-01,4,1.983397743e-06,3.058163099e-06,3.998913494e-07,6.075281503e-01,4.423993499e+07,8.664583563e+03,1.437718864e-03
pi+0.50,5.000000000e-01,4,1.787574064e-06,3.251534291e-06,3.690013988e-07,6.462774539e-01,4.469847210e+07,8.845127360e+03,1.722028312e-03
pi+0.50,5.000000000e-01,4,1.603307884e-06,3.433208401e-06,3.382068810e-07,6.827397765e-01,4.520840866e+07,9.048095471e+03,2.065463139e-03
pi+0.50,5.000000000e-01,4,1.429984162e-06,3.603828280e-06,3.077145553e-07,7.170368217e-01,4.577709905e+07,9.277164747e+03,2.487235709e-03
pi+0.50,5.000000000e-01,4,1.266841764e-06,3.764178616e-06,2.776635309e-07,7.493192012e-01,4.641368160e+07,9.536977796e+03,2.995216581e-03
pi+0.50,5.000000000e-01,4,1.113395394e-06,3.914770482e-06,2.482057148e-07,7.796829449e-01,4.713105533e+07,9.834064735e+03,3.626436511e-03
pi+0.50,5.000000000e-01,4,9.690249855e-07,4.056244984e-06,2.194361209e-07,8.082507506e-01,4.794598310e+07,1.017708004e+04,4.413307323e-03
pi+0.50,5.000000000e-01,4,8.332095442e-07,4.189143312e-06,1.914397371e-07,8.351257118e-01,4.888226403e+07,1.057843347e+04,5.415747496e-03
pi+0.50,5.000000000e-01,4,7.054250220e-07,4.314006941e-06,1.642753699e-07,8.604115265e-01,4.997353363e+07,1.105602095e+04,6.720023736e-03
