# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
7.0292887e-05,-2.2589958e-04,1.4081487e+03,6.3087805e+05,reservoir_solid
7.3640167e-05,-2.2589958e-04,1.4063692e+03,6.1569235e+05,reservoir_solid
7.6987448e-05,-2.2589958e-04,1.4046619e+03,6.0236801e+05,reservoir_solid
8.0334728e-05,-2.2589958e-04,1.4030148e+03,5.9060065e+05,reservoir_solid
8.3682008e-05,-2.2589958e-04,1.4014596e+03,5.8065377e+05,reservoir_solid
8.7029289e-05,-2.2589958e-04,1.3999556e+03,5.7185034e+05,reservoir_solid
9.0376569e-05,-2.2589958e-04,1.3984959e+03,5.6405601e+05,reservoir_solid
9.3723849e-05,-2.2589958e-04,1.3971181e+03,5.5752463e+05,reservoir_solid
9.7071130e-05,-2.2589958e-04,1.3957577e+03,5.5158465e+05,reservoir_solid
1.0041841e-04,-2.2589958e-04,1.3944825e+03,5.4670399e+05,reservoir_solid
1.0376569e-04,-2.2589958e-04,1.3932150e+03,5.4224282e+05,reservoir_solid
1.0711297e-04,-2.2589958e-04,1.3920284e+03,5.3861651e+05,reservoir_solid
1.1046025e-04,-2.2589958e-04,1.3908419e+03,5.3530215e+05,reservoir_solid
1.1380753e-04,-2.2589958e-04,1.3897352e+03,5.3266571e+05,reservoir_solid
1.1715481e-04,-2.2589958e-04,1.3886347e+03,5.3031306e+05,reservoir_solid
1.2050209e-04,-2.2589958e-04,1.3875815e+03,5.2842342e+05,reservoir_solid
1.2384937e-04,-2.2589958e-04,1.3865640e+03,5.2688898e+05,reservoir_solid
1.2719665e-04,-2.2589958e-04,1.3855482e+03,5.2554158e+05,reservoir_solid
1.3054393e-04,-2.2589958e-04,1.3846056e+03,5.2447253e+05,reservoir_solid
1.3389121e-04,-2.2589958e-04,1.3836629e+03,5.2356885e+05,reservoir_solid
1.3723849e-04,-2.2589958e-04,1.3827577e+03,5.2286740e+05,reservoir_solid
1.4058577e-04,-2.2589958e-04,1.3818779e+03,5.2233768e+05,reservoir_solid
1.4393305e-04,-2.2589958e-04,1.3810177e+03,5.2196080e+05,reservoir_solid
1.4728033e-04,-2.2589958e-04,1.3801902e+03,5.2172790e+05,reservoir_solid
1.5062762e-04,-2.2589958e-04,1.3793777e+03,5.2161506e+05,reservoir_solid
1.5397490e-04,-2.2589958e-04,1.3785944e+03,5.2161048e+05,reservoir_solid
1.5732218e-04,-2.2589958e-04,1.3778290e+03,5.2170078e+05,reservoir_solid
1.6066946e-04,-2.2589958e-04,1.3770834e+03,5.2187519e+05,reservoir_solid
1.6401674e-04,-2.2589958e-04,1.3763625e+03,5.2211870e+05,reservoir_solid
1.6736402e-04,-2.2589958e-04,1.3756549e+03,5.2243069e+05,reservoir_solid
1.7071130e-04,-2.2589958e-04,1.3749695e+03,5.2279465e+05,reservoir_solid
1.7405858e-04,-2.2589958e-04,1.3743029e+03,5.2320507e+05,reservoir_solid
1.7740586e-04,-2.2589958e-04,1.3736517e+03,5.2365916e+05,reservoir_solid
1.8075314e-04,-2.2589958e-04,1.3730168e+03,5.2414948e+05,reservoir_solid
1.8410042e-04,-2.2589958e-04,1.3723983e+03,5.2466986e+05,reservoir_solid
